first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,cost
Milos,Kerkez,1,3,76,1817,25,359.6,384.2,110.0,8,307,85.4,5,0,2,7.6,48,DEF,4.8
Bryan,Mbeumo,13,3,138,1885,35,647.7,747.4,500.0,20,546,189.7,4,0,2,32.2,78,MID,7.8
Yoane,Wissa,10,3,97,1391,25,178.5,422.4,542.0,16,386,113.6,4,0,2,9.8,62,FWD,6.2
Cole,Palmer,14,7,163,1838,25,832.3,812.0,655.0,29,687,230.2,4,0,3,68.7,114,MID,11.4
Jordan,Pickford,0,0,88,1800,26,10.3,566.8,0.0,10,307,57.5,7,0,5,13.7,50,GK,5.0
Alex,Iwobi,7,3,102,1806,26,603.8,544.6,440.0,12,454,158.9,5,0,1,8.5,59,MID,5.9
Mohamed,Salah,18,13,211,1763,20,570.2,971.2,1232.0,35,693,277.2,8,0,1,70.3,137,MID,13.7
Amad,Diallo,6,7,100,1321,20,421.6,482.4,435.0,14,420,134.0,5,0,3,21.8,55,MID,5.5
Lewis,Hall,0,4,85,1677,17,448.7,412.8,112.0,9,377,97.6,8,0,3,24.0,50,DEF,5.0
Ola,Aina,2,0,97,1823,19,142.5,372.8,59.0,15,360,57.4,9,0,2,27.3,53,DEF,5.3
Murillo,Santiago Costa dos Santos,1,0,80,1777,20,133.9,529.4,133.0,11,328,79.7,8,0,4,3.5,46,DEF,4.6
Matz,Sels,0,1,97,1890,20,0.1,513.0,0.0,9,332,51.6,9,0,2,16.6,50,GK,5.0
Chris,Wood,13,1,123,1661,17,128.9,497.4,524.0,28,459,115.3,10,0,1,39.5,70,FWD,7.0
Nikola,Milenković,2,1,85,1800,19,48.7,372.0,205.0,1,292,62.3,9,0,2,8.4,48,DEF,4.8
Matheus,Santos Carneiro Da Cunha,10,4,112,1605,41,521.7,612.6,519.0,25,533,165.4,3,0,2,11.2,70,FWD,7.0
